category,year,exp,rev
114,1979,229740,181770
114,1980,266310,209142
114,1981,273250,210836
114,1982,288700,234310
114,1983,226470,179979
114,1984,215600,179949
114,1985,219590,162235
114,1986,208890,159412
114,1987,213270,165892
115,1979,156620,145388
115,1980,169680,120869
115,1981,177100,127321
115,1982,180480,122875
115,1983,142370,98543
115,1984,163230,126863
115,1985,146980,116686
115,1986,187260,114199
115,1987,171470,117049
120,1979,184840,141516
120,1980,191330,143768
120,1981,183670,134865
120,1982,175740,144868
120,1983,161190,137483
120,1984,166540,120973
120,1985,168850,128326
120,1986,166100,119202
120,1987,170310,124913
123,1979,250070,201867
123,1980,255250,195138
123,1981,271430,208347
123,1982,279850,221759
123,1983,202160,153417
123,1984,200150,164130
123,1985,216900,176900
123,1986,216470,163155
123,1987,267090,219611
125,1979,167600,130940
125,1980,172930,123338
125,1981,167680,129310
125,1982,171220,131550
125,1983,150810,107631
125,1984,153970,110090
125,1985,159060,117504
125,1986,164410,125861
125,1987,169780,120602
126,1979,219680,181674
126,1980,217620,173885
126,1981,222330,182411
126,1982,222460,182746
126,1983,187670,149633
126,1984,187810,144672
126,1985,190590,139736
126,1986,194700,140837
126,1987,191130,145366
136,1979,231740,172042
136,1980,245970,173582
136,1981,206460,151346
136,1982,211220,161283
136,1983,182060,118334
136,1984,179110,123566
136,1985,178820,126060
136,1986,185610,129887
136,1987,181010,123385
138,1979,193450,148716
138,1980,191200,141446
138,1981,207370,159090
138,1982,223940,163147
138,1983,173470,117937
138,1984,174330,128002
138,1985,169320,116849
138,1986,182260,127599
138,1987,172680,126449
139,1979,194950,152409
139,1980,195830,125925
139,1981,198830,147211
139,1982,217390,166368
139,1983,201510,138605
139,1984,192870,134880
139,1985,192670,122691
139,1986,187610,117901
139,1987,192020,136853
160,1979,183890,135097
160,1980,187230,140094
160,1981,187400,143453
160,1982,182530,136378
160,1983,147420,104118
160,1984,145610,103823
160,1985,142050,99963
160,1986,148190,113629
160,1987,158630,106272
162,1979,194370,166595
162,1980,195120,169494
162,1981,227620,176323
162,1982,218110,168973
162,1983,180310,133900
162,1984,176210,140771
162,1985,182460,142071
162,1986,164860,140526
162,1987,192920,181579
163,1979,225440,184278
163,1980,186700,147731
163,1981,191610,160088
163,1982,200530,154452
163,1983,169070,122201
163,1984,174110,133126
163,1985,172380,124814
163,1986,180340,134563
163,1987,186800,132113
180,1979,310350,276293
180,1980,307840,263058
180,1981,329160,291416
180,1982,338830,290965
180,1983,245820,206053
180,1984,247880,202630
180,1985,253420,205279
180,1986,266040,222837
180,1987,287890,240410
181,1979,249770,194171
181,1980,265290,200202
181,1981,297860,227815
181,1982,326430,272192
181,1983,252100,209529
181,1984,252020,215838
181,1985,259640,205718
181,1986,264560,199108
181,1987,251180,200107
182,1979,210210,166287
182,1980,208070,155910
182,1981,207500,160273
182,1982,203200,161407
182,1983,166230,132480
182,1984,166050,130823
182,1985,167140,119395
182,1986,174150,129245
182,1987,172690,127586
183,1979,255750,230152
183,1980,270370,241117
183,1981,271970,241141
183,1982,279350,245080
183,1983,231020,200013
183,1984,249000,206582
183,1985,272730,225685
183,1986,240470,206297
183,1987,223050,200823
184,1979,269420,222933
184,1980,267650,228947
184,1981,285040,242126
184,1982,284810,246426
184,1983,221490,183393
184,1984,224320,190755
184,1985,255640,211840
184,1986,229420,193082
184,1987,235920,186347
186,1979,212930,184957
186,1980,211700,165929
186,1981,208920,168810
186,1982,205380,168586
186,1983,142790,122328
186,1984,153590,131984
186,1985,173210,134602
186,1986,181430,129097
186,1987,178540,137068
188,1979,210540,170682
188,1980,190430,149044
188,1981,192120,151411
188,1982,198290,153611
188,1983,166540,121659
188,1984,172640,125480
188,1985,179930,135665
188,1986,188290,131171
188,1987,183990,142811
191,1979,187250,156535
191,1980,198790,148208
191,1981,203700,151147
191,1982,201450,150699
191,1983,182460,134235
191,1984,192760,140523
191,1985,189380,133810
191,1986,199020,145047
191,1987,203590,143970
192,1979,193820,161310
192,1980,188850,154704
192,1981,199730,161732
192,1982,207310,156240
192,1983,151010,110136
192,1984,163020,118988
192,1985,161110,111357
192,1986,167020,128955
192,1987,175140,125388
305,1979,156350,114385
305,1980,175180,121372
305,1981,173560,115067
305,1982,174850,123928
305,1983,143100,97932
305,1984,143430,87980
305,1985,153450,102226
305,1986,158920,106177
305,1987,161290,110260
319,1979,187150,148980
319,1980,182800,141863
319,1981,210430,159966
319,1982,189660,158691
319,1983,141960,97587
319,1984,153380,113876
319,1985,160330,108075
319,1986,173670,130384
319,1987,190590,127563
360,1979,162120,121732
360,1980,159810,117022
360,1981,170220,123779
360,1982,188370,135780
360,1983,159360,107309
360,1984,165430,114193
360,1985,172130,120596
360,1986,171590,119420
360,1987,170730,113215
380,1979,240810,201083
380,1980,269370,216557
380,1981,251560,212891
380,1982,250350,214894
380,1983,219360,186956
380,1984,216040,196381
380,1985,239220,152816
380,1986,253080,193129
380,1987,243110,198511
381,1979,204640,154544
381,1980,205420,148703
381,1981,224750,164024
381,1982,226220,183088
381,1983,169640,117693
381,1984,178210,117322
381,1985,173660,120353
381,1986,178010,134946
381,1987,184370,126067
382,1979,186860,130671
382,1980,175120,133353
382,1981,171620,126492
382,1982,177550,128064
382,1983,163890,114885
382,1984,168120,112732
382,1985,179580,108685
382,1986,183480,106895
382,1987,187780,148713
428,1979,140730,102037
428,1980,139920,114495
428,1981,168850,118456
428,1982,160460,105061
428,1983,141450,101035
428,1984,147390,104996
428,1985,149560,90212
428,1986,157850,102711
428,1987,160610,104884
481,1979,197340,163383
481,1980,194440,142251
481,1981,209540,167975
481,1982,214670,180883
481,1983,184570,137708
481,1984,188910,131291
481,1985,192150,138626
481,1986,207430,161025
481,1987,201700,156440
482,1979,159300,120276
482,1980,160980,114556
482,1981,166500,131131
482,1982,172590,137262
482,1983,154910,116121
482,1984,160670,109290
482,1985,171700,119456
482,1986,164170,113704
482,1987,170570,125456
483,1979,188030,141384
483,1980,187960,147335
483,1981,186170,143254
483,1982,189240,143812
483,1983,165420,114505
483,1984,165090,111661
483,1985,165200,109646
483,1986,166500,110680
483,1987,194240,135070
484,1979,227030,180117
484,1980,248450,192390
484,1981,230640,185211
484,1982,239120,196160
484,1983,214810,157505
484,1984,203840,155497
484,1985,215150,161847
484,1986,221230,165269
484,1987,223530,166996
486,1979,171870,149071
486,1980,176580,136631
486,1981,186140,144518
486,1982,177950,142516
486,1983,149380,111801
486,1984,157720,107337
486,1985,159800,112026
486,1986,152690,110565
486,1987,161320,113534
509,1979,145440,106093
509,1980,144040,108742
509,1981,156910,107851
509,1982,164520,110951
509,1983,144610,83185
509,1984,134680,86277
509,1985,147230,85153
509,1986,151490,105635
509,1987,153000,116469
512,1979,139630,99570
512,1980,172400,140900
512,1981,162630,102453
512,1982,158000,113746
512,1983,130310,101034
512,1984,143250,97224
512,1985,140110,95874
512,1986,160200,101724
512,1987,156130,108303
513,1979,146170,100167
513,1980,141290,105490
513,1981,153480,102529
513,1982,150410,100549
513,1983,135680,84512
513,1984,139400,89327
513,1985,150470,96024
513,1986,147620,97846
513,1987,170630,105335
560,1979,174440,118676
560,1980,161920,118756
560,1981,185630,145203
560,1982,172160,120019
560,1983,146550,94395
560,1984,157240,107820
560,1985,150700,97676
560,1986,159550,105408
560,1987,195260,129295
561,1979,151920,113393
561,1980,152160,111228
561,1981,155050,115168
561,1982,161130,105947
561,1983,146250,94498
561,1984,146640,99480
561,1985,142760,94199
561,1986,150990,108351
561,1987,169080,115279
562,1979,199310,151158
562,1980,192070,146959
562,1981,195180,151759
562,1982,196440,148133
562,1983,149760,104437
562,1984,154670,104124
562,1985,160130,106640
562,1986,174660,127943
562,1987,175160,124906
563,1979,187210,136199
563,1980,176340,112933
563,1981,183760,133408
563,1982,192010,136952
563,1983,170560,117979
563,1984,161440,97486
563,1985,159420,105068
563,1986,175670,114864
563,1987,164240,113937
580,1979,187350,142640
580,1980,184270,139558
580,1981,194070,145476
580,1982,183630,146778
580,1983,151550,103479
580,1984,151140,108382
580,1985,159310,103890
580,1986,163050,119467
580,1987,172630,107050
581,1979,246180,202347
581,1980,243520,205937
581,1981,249910,211050
581,1982,270950,226063
581,1983,234900,190062
581,1984,224320,227316
581,1985,279050,228384
581,1986,273530,218511
581,1987,312370,260981
582,1979,163860,137619
582,1980,165380,121922
582,1981,180430,129362
582,1982,167930,117395
582,1983,146850,99551
582,1984,142730,95479
582,1985,150640,98817
582,1986,165940,102445
582,1987,171100,115343
586,1979,186940,141684
586,1980,186830,142339
586,1981,211050,145247
586,1982,174740,115886
586,1983,158530,96580
586,1984,154000,104948
586,1985,162940,103671
586,1986,166390,108564
586,1987,170780,112153
604,1979,149460,124097
604,1980,145830,101239
604,1981,148460,103018
604,1982,166310,106293
604,1983,140890,90797
604,1984,145870,90721
604,1985,139660,86703
604,1986,162220,111796
604,1987,152390,98059
617,1979,148210,130331
617,1980,168950,146665
617,1981,189370,156221
617,1982,211780,145540
617,1983,143850,116483
617,1984,144010,110599
617,1985,156930,113241
617,1986,157870,116321
617,1987,153920,115942
662,1979,184650,145395
662,1980,172980,138423
662,1981,176040,141636
662,1982,177360,139905
662,1983,137910,100103
662,1984,144170,98771
662,1985,139790,99393
662,1986,151210,105696
662,1987,164930,113515
665,1979,171940,138683
665,1980,169920,132930
665,1981,164580,134931
665,1982,179940,140809
665,1983,150540,100738
665,1984,152620,111267
665,1985,159000,108423
665,1986,167900,111378
665,1987,174200,120350
680,1979,198590,166240
680,1980,199040,150695
680,1981,210220,174167
680,1982,222210,172636
680,1983,184380,140410
680,1984,195450,141808
680,1985,206430,157226
680,1986,208210,157769
680,1987,235100,195728
682,1979,190400,149440
682,1980,186800,146008
682,1981,193540,144785
682,1982,193280,150338
682,1983,181870,141680
682,1984,164130,114350
682,1985,184350,132569
682,1986,195150,137642
682,1987,195980,134658
683,1979,180320,148748
683,1980,175980,138221
683,1981,179900,139303
683,1982,181150,141352
683,1983,155950,109512
683,1984,152240,108437
683,1985,152890,109456
683,1986,164310,111161
683,1987,167600,118649
684,1979,144160,115779
684,1980,152970,115594
684,1981,155780,121100
684,1982,156490,113014
684,1983,128400,86342
684,1984,128660,86966
684,1985,142760,93662
684,1986,145200,94408
684,1987,161650,103548
685,1979,175220,143635
685,1980,174120,128977
685,1981,169900,134206
685,1982,178250,130943
685,1983,149580,108830
685,1984,151870,105908
